transaction_id,user_id,timestamp,amount,recipient_id,transaction_type,device_id,location,is_fraud,fraud_type
TXN_00000000,USER_0855,2025-11-13 00:34:19.644948,6585.09,RECIP_0107,Recharge,DEV_044,Delhi,0,legitimate
TXN_00000001,USER_0572,2025-11-17 05:48:19.645199,14570.52,RECIP_0495,P2P,DEV_043,Mumbai,0,legitimate
TXN_00000002,USER_0287,2025-10-10 04:55:19.645214,1621.49,RECIP_0109,Recharge,DEV_043,Mumbai,0,legitimate
TXN_00000003,USER_0138,2025-11-15 01:43:19.645224,5487.24,RECIP_0016,Recharge,DEV_093,Bangalore,0,legitimate
TXN_00000004,USER_0595,2025-09-17 14:33:19.645231,6685.08,RECIP_0339,P2P,DEV_028,Delhi,0,legitimate
TXN_00000005,USER_0363,2025-10-21 05:48:19.645238,11509.13,RECIP_0320,P2M,DEV_070,Chennai,1,new_recipient
TXN_00000006,USER_0591,2025-10-27 08:54:19.645246,25342.73,RECIP_0291,Bill Payment,DEV_050,Hyderabad,0,legitimate
TXN_00000007,USER_0463,2025-11-06 03:51:19.645252,27058.37,RECIP_0279,P2P,DEV_052,Kolkata,0,legitimate
TXN_00000008,USER_0628,2025-10-30 04:10:19.645259,98870.73,RECIP_0070,P2P,DEV_021,Mumbai,1,new_recipient
TXN_00000009,USER_0483,2025-11-04 13:38:19.645265,51165.94,RECIP_0141,Bill Payment,DEV_013,Mumbai,0,legitimate
TXN_00000010,USER_0405,2025-12-01 14:41:19.645272,977.23,RECIP_0232,Bill Payment,DEV_080,Chennai,0,legitimate
TXN_00000011,USER_0565,2025-09-20 20:24:19.645278,3713.98,RECIP_0255,P2M,DEV_038,Delhi,0,legitimate
TXN_00000012,USER_0795,2025-09-12 04:45:19.645287,4788.0,RECIP_0104,Recharge,DEV_098,Kolkata,0,legitimate
TXN_00000013,USER_0608,2025-11-10 12:21:19.645296,2324.38,RECIP_0025,Recharge,DEV_041,Chennai,0,legitimate
TXN_00000014,USER_0947,2025-09-18 08:51:19.645302,33767.43,RECIP_0277,P2P,DEV_083,Kolkata,0,legitimate
TXN_00000015,USER_0711,2025-09-19 08:37:19.645308,15204.02,RECIP_0457,Bill Payment,DEV_094,Kolkata,0,legitimate
TXN_00000016,USER_0079,2025-10-03 23:33:19.645314,19146.23,RECIP_0338,Bill Payment,DEV_056,Hyderabad,1,fake_refund
TXN_00000017,USER_0381,2025-10-31 04:24:19.645321,8181.01,RECIP_0422,P2P,DEV_082,Hyderabad,1,fake_refund
TXN_00000018,USER_0990,2025-11-19 20:14:19.645327,21400.71,RECIP_0312,P2M,DEV_026,Chennai,0,legitimate
TXN_00000019,USER_0690,2025-09-29 10:37:19.645333,4085.66,RECIP_0435,Bill Payment,DEV_050,Bangalore,0,legitimate
TXN_00000020,USER_0804,2025-11-16 23:57:19.645339,1,RECIP_0329,Recharge,DEV_009,Mumbai,1,micropay_scam
TXN_00000021,USER_0532,2025-09-16 17:55:19.645345,5987.15,RECIP_0203,P2P,DEV_043,Hyderabad,0,legitimate
TXN_00000022,USER_0895,2025-10-20 07:07:19.645351,13961.08,RECIP_0222,Bill Payment,DEV_017,Bangalore,0,legitimate
TXN_00000023,USER_0214,2025-11-02 17:15:19.645357,13950.39,RECIP_0478,P2P,DEV_018,Bangalore,0,legitimate
TXN_00000024,USER_0630,2025-10-30 08:14:19.645363,14141.39,RECIP_0179,Bill Payment,DEV_064,Kolkata,1,fake_refund
TXN_00000025,USER_0942,2025-10-05 00:05:19.645369,17005.7,RECIP_0340,Bill Payment,DEV_044,Delhi,1,fake_refund
TXN_00000026,USER_0628,2025-09-09 23:32:19.645375,8710.04,RECIP_0427,P2P,DEV_092,Kolkata,0,legitimate
TXN_00000027,USER_0784,2025-10-23 07:55:19.645381,2613.6,RECIP_0354,P2P,DEV_070,Hyderabad,0,legitimate
TXN_00000028,USER_0750,2025-09-17 13:35:19.645387,10,RECIP_0223,Recharge,DEV_019,Kolkata,1,micropay_scam
TXN_00000029,USER_0251,2025-11-16 07:17:19.645392,1041.79,RECIP_0176,Recharge,DEV_075,Delhi,0,legitimate
TXN_00000030,USER_0772,2025-11-18 11:25:19.645398,1111.83,RECIP_0389,Recharge,DEV_037,Mumbai,0,legitimate
TXN_00000031,USER_0176,2025-09-18 09:22:19.645404,6278.17,RECIP_0206,P2M,DEV_093,Delhi,0,legitimate
TXN_00000032,USER_0938,2025-11-18 00:40:19.645410,9455.18,RECIP_0309,P2P,DEV_072,Kolkata,0,legitimate
TXN_00000033,USER_0810,2025-10-27 13:49:19.645417,5562.86,RECIP_0074,Recharge,DEV_048,Delhi,0,legitimate
TXN_00000034,USER_0623,2025-12-04 11:06:19.645423,2954.54,RECIP_0175,P2P,DEV_018,Kolkata,0,legitimate
TXN_00000035,USER_0859,2025-11-30 00:30:19.645429,12180.27,RECIP_0148,P2P,DEV_066,Hyderabad,0,legitimate
TXN_00000036,USER_0987,2025-10-01 16:33:19.645435,585.16,RECIP_0338,Recharge,DEV_025,Kolkata,0,legitimate
TXN_00000037,USER_0537,2025-11-29 10:52:19.645441,2555.14,RECIP_0092,P2P,DEV_047,Chennai,0,legitimate
TXN_00000038,USER_0023,2025-09-24 18:06:19.645447,14576.7,RECIP_0129,Recharge,DEV_051,Hyderabad,0,legitimate
TXN_00000039,USER_0118,2025-09-11 11:30:19.645453,1737.32,RECIP_0438,Recharge,DEV_059,Hyderabad,0,legitimate
TXN_00000040,USER_0687,2025-09-21 04:39:19.645458,12874.5,RECIP_0160,Bill Payment,DEV_084,Bangalore,0,legitimate
TXN_00000041,USER_0796,2025-09-27 05:42:19.645465,10940.32,RECIP_0325,P2M,DEV_026,Mumbai,0,legitimate
TXN_00000042,USER_0010,2025-12-02 02:41:19.645470,5554.21,RECIP_0358,P2M,DEV_068,Bangalore,0,legitimate
TXN_00000043,USER_0272,2025-10-04 00:40:19.645476,726.28,RECIP_0134,P2P,DEV_078,Delhi,0,legitimate
TXN_00000044,USER_0414,2025-09-18 11:30:19.645482,4261.74,RECIP_0032,Bill Payment,DEV_025,Bangalore,0,legitimate
TXN_00000045,USER_0822,2025-12-04 05:28:19.645488,5372.1,RECIP_0036,Bill Payment,DEV_073,Mumbai,0,legitimate
TXN_00000046,USER_0371,2025-10-21 00:08:19.645494,6939.06,RECIP_0480,Recharge,DEV_080,Chennai,0,legitimate
TXN_00000047,USER_0410,2025-11-05 03:26:19.645500,3227.09,RECIP_0209,Recharge,DEV_053,Delhi,0,legitimate
TXN_00000048,USER_0629,2025-11-08 23:56:19.645508,16531.71,RECIP_0208,Recharge,DEV_056,Kolkata,0,legitimate
TXN_00000049,USER_0134,2025-10-03 04:10:19.645514,117470.52,RECIP_0412,P2M,DEV_035,Delhi,1,new_recipient
TXN_00000050,USER_0864,2025-12-01 05:38:19.645520,17620.52,RECIP_0129,Recharge,DEV_081,Kolkata,1,fake_refund
TXN_00000051,USER_0386,2025-09-05 14:33:19.645526,4613.09,RECIP_0276,Recharge,DEV_045,Chennai,0,legitimate
TXN_00000052,USER_0832,2025-10-11 05:33:19.645532,30439.38,RECIP_0457,P2P,DEV_025,Hyderabad,0,legitimate
TXN_00000053,USER_0810,2025-10-05 06:23:19.645540,1142.78,RECIP_0220,Bill Payment,DEV_089,Hyderabad,0,legitimate
TXN_00000054,USER_0021,2025-10-18 00:16:19.645546,987.46,RECIP_0176,P2M,DEV_055,Bangalore,0,legitimate
TXN_00000055,USER_0602,2025-09-17 01:22:19.645552,30373.51,RECIP_0016,Recharge,DEV_098,Kolkata,0,legitimate
TXN_00000056,USER_0656,2025-10-02 02:17:19.645558,2918.96,RECIP_0194,Recharge,DEV_006,Delhi,0,legitimate
TXN_00000057,USER_0123,2025-11-12 22:57:19.645564,10245.23,RECIP_0453,P2P,DEV_026,Kolkata,0,legitimate
TXN_00000058,USER_0660,2025-09-05 19:21:19.645570,12889.31,RECIP_0225,P2P,DEV_038,Hyderabad,0,legitimate
TXN_00000059,USER_0331,2025-11-22 03:23:19.645576,26112.6,RECIP_0477,P2P,DEV_095,Hyderabad,1,new_recipient
TXN_00000060,USER_0606,2025-10-08 20:31:19.645582,42396.63,RECIP_0310,Recharge,DEV_024,Hyderabad,1,velocity_attack
TXN_00000061,USER_0652,2025-11-04 04:44:19.645588,6299.86,RECIP_0294,Bill Payment,DEV_005,Mumbai,0,legitimate
TXN_00000062,USER_0301,2025-09-22 12:09:19.645594,44986.29,RECIP_0112,Recharge,DEV_097,Chennai,0,legitimate
TXN_00000063,USER_0614,2025-09-20 03:24:19.645600,6517.19,RECIP_0405,P2M,DEV_003,Chennai,0,legitimate
TXN_00000064,USER_0372,2025-09-15 17:28:19.645606,15819.01,RECIP_0170,Bill Payment,DEV_034,Delhi,1,fake_refund
TXN_00000065,USER_0023,2025-10-25 06:50:19.645612,7965.89,RECIP_0362,Recharge,DEV_017,Chennai,0,legitimate
TXN_00000066,USER_0978,2025-10-26 01:15:19.645618,15201.1,RECIP_0184,P2M,DEV_069,Bangalore,0,legitimate
TXN_00000067,USER_0162,2025-09-16 06:19:19.645624,18271.91,RECIP_0412,P2P,DEV_009,Kolkata,0,legitimate
TXN_00000068,USER_0941,2025-09-18 10:15:19.645630,33439.04,RECIP_0296,P2M,DEV_049,Chennai,1,velocity_attack
TXN_00000069,USER_0038,2025-09-05 10:31:19.645636,2332.77,RECIP_0170,P2P,DEV_056,Kolkata,0,legitimate
TXN_00000070,USER_0818,2025-09-20 01:56:19.645642,890.57,RECIP_0294,Recharge,DEV_096,Chennai,0,legitimate
TXN_00000071,USER_0494,2025-09-13 10:32:19.645648,14254.8,RECIP_0197,P2P,DEV_001,Bangalore,1,velocity_attack
TXN_00000072,USER_0594,2025-11-10 03:24:19.645654,6598.19,RECIP_0234,P2M,DEV_052,Mumbai,0,legitimate
TXN_00000073,USER_0289,2025-09-21 08:55:19.645660,11462.31,RECIP_0377,P2P,DEV_040,Chennai,0,legitimate
TXN_00000074,USER_0421,2025-10-07 09:42:19.645666,21244.59,RECIP_0061,Recharge,DEV_068,Delhi,0,legitimate
TXN_00000075,USER_0147,2025-11-12 01:12:19.645672,18081.69,RECIP_0391,Bill Payment,DEV_084,Delhi,0,legitimate
TXN_00000076,USER_0980,2025-11-11 09:48:19.645678,25910.36,RECIP_0481,P2P,DEV_014,Kolkata,0,legitimate
TXN_00000077,USER_0141,2025-11-10 05:25:19.645685,12109.18,RECIP_0493,P2P,DEV_077,Chennai,0,legitimate
TXN_00000078,USER_0598,2025-11-24 04:29:19.645691,58837.85,RECIP_0289,P2P,DEV_081,Bangalore,0,legitimate
TXN_00000079,USER_0489,2025-10-30 17:52:19.645696,8340.57,RECIP_0360,P2M,DEV_062,Hyderabad,1,fake_refund
TXN_00000080,USER_0394,2025-10-02 16:32:19.645702,8025.39,RECIP_0395,P2P,DEV_069,Kolkata,0,legitimate
TXN_00000081,USER_0442,2025-11-17 02:01:19.645708,19655.26,RECIP_0251,Bill Payment,DEV_064,Chennai,0,legitimate
TXN_00000082,USER_0471,2025-12-02 23:32:19.645714,100000,RECIP_0491,P2M,DEV_016,Chennai,0,legitimate
TXN_00000083,USER_0662,2025-10-19 19:53:19.645720,10226.18,RECIP_0455,P2P,DEV_099,Kolkata,0,legitimate
TXN_00000084,USER_0399,2025-11-28 06:56:19.645725,8322.63,RECIP_0261,Recharge,DEV_038,Hyderabad,0,legitimate
TXN_00000085,USER_0551,2025-09-10 06:48:19.645731,19070.55,RECIP_0141,P2P,DEV_090,Bangalore,0,legitimate
TXN_00000086,USER_0881,2025-09-09 19:12:19.645737,4327.25,RECIP_0229,P2M,DEV_088,Bangalore,0,legitimate
TXN_00000087,USER_0049,2025-10-20 03:25:19.645743,30138.35,RECIP_0240,Recharge,DEV_064,Mumbai,1,velocity_attack
TXN_00000088,USER_0573,2025-09-28 05:21:19.645749,17230.89,RECIP_0192,P2P,DEV_073,Chennai,0,legitimate
TXN_00000089,USER_0618,2025-09-21 05:40:19.645755,1801.29,RECIP_0099,P2M,DEV_079,Mumbai,0,legitimate
TXN_00000090,USER_0329,2025-11-27 20:09:19.645761,5797.88,RECIP_0373,P2P,DEV_099,Bangalore,0,legitimate
TXN_00000091,USER_0129,2025-11-13 05:56:19.645767,9346.1,RECIP_0120,Recharge,DEV_015,Kolkata,1,fake_refund
TXN_00000092,USER_0024,2025-09-15 02:53:19.645814,14071.41,RECIP_0031,Bill Payment,DEV_032,Hyderabad,0,legitimate
TXN_00000093,USER_0538,2025-12-03 13:35:19.645866,5822.66,RECIP_0240,Bill Payment,DEV_020,Bangalore,0,legitimate
TXN_00000094,USER_0545,2025-09-21 00:27:19.645875,19628.5,RECIP_0214,Bill Payment,DEV_061,Bangalore,1,fake_refund
TXN_00000095,USER_0527,2025-09-22 17:51:19.645884,36008.17,RECIP_0209,Recharge,DEV_068,Mumbai,0,legitimate
TXN_00000096,USER_0048,2025-09-21 03:31:19.645891,8769.49,RECIP_0385,P2P,DEV_086,Chennai,0,legitimate
TXN_00000097,USER_0573,2025-11-15 06:01:19.645898,2,RECIP_0117,P2P,DEV_017,Chennai,1,micropay_scam
TXN_00000098,USER_0145,2025-10-15 08:44:19.645904,3624.7,RECIP_0214,P2M,DEV_043,Chennai,0,legitimate
TXN_00000099,USER_0044,2025-10-15 13:44:19.645911,13809.47,RECIP_0254,P2M,DEV_096,Delhi,0,legitimate
TXN_00000100,USER_0825,2025-10-06 03:29:19.645917,5257.35,RECIP_0236,Bill Payment,DEV_025,Hyderabad,0,legitimate
TXN_00000101,USER_0349,2025-11-01 06:29:19.645923,1632.45,RECIP_0421,P2P,DEV_012,Mumbai,0,legitimate
TXN_00000102,USER_0631,2025-10-24 07:09:19.645929,4228.24,RECIP_0406,Bill Payment,DEV_088,Kolkata,0,legitimate
TXN_00000103,USER_0795,2025-10-19 03:29:19.645935,32041.31,RECIP_0149,Recharge,DEV_004,Bangalore,1,velocity_attack
TXN_00000104,USER_0264,2025-11-26 04:49:19.645941,41294.56,RECIP_0423,Bill Payment,DEV_100,Kolkata,1,new_recipient
TXN_00000105,USER_0464,2025-11-16 19:32:19.645947,1,RECIP_0013,Bill Payment,DEV_066,Mumbai,1,micropay_scam
TXN_00000106,USER_0499,2025-11-15 16:38:19.645953,4751.14,RECIP_0218,P2M,DEV_008,Bangalore,0,legitimate
TXN_00000107,USER_0965,2025-10-05 05:08:19.645959,15719.61,RECIP_0115,P2M,DEV_031,Delhi,0,legitimate
TXN_00000108,USER_0363,2025-10-24 15:55:19.645965,2,RECIP_0041,Bill Payment,DEV_061,Hyderabad,1,micropay_scam
TXN_00000109,USER_0329,2025-11-12 07:42:19.645972,41008.99,RECIP_0402,P2P,DEV_001,Kolkata,0,legitimate
TXN_00000110,USER_0294,2025-11-12 06:22:19.645978,4396.9,RECIP_0155,Recharge,DEV_084,Bangalore,0,legitimate
TXN_00000111,USER_0283,2025-11-24 18:05:19.645984,4716.58,RECIP_0184,P2P,DEV_076,Kolkata,0,legitimate
TXN_00000112,USER_0015,2025-10-12 23:32:19.645995,1745.19,RECIP_0358,P2P,DEV_094,Hyderabad,0,legitimate
TXN_00000113,USER_0968,2025-10-13 14:05:19.646001,5720.33,RECIP_0369,P2M,DEV_065,Mumbai,0,legitimate
TXN_00000114,USER_0366,2025-09-19 16:17:19.646007,17346.12,RECIP_0060,P2P,DEV_016,Delhi,0,legitimate
TXN_00000115,USER_0682,2025-11-27 14:03:19.646013,8747.78,RECIP_0500,Recharge,DEV_086,Mumbai,0,legitimate
TXN_00000116,USER_0967,2025-10-20 16:12:19.646019,4256.02,RECIP_0266,Recharge,DEV_070,Delhi,0,legitimate
TXN_00000117,USER_0306,2025-09-11 12:17:19.646025,12125.13,RECIP_0407,P2P,DEV_100,Mumbai,1,velocity_attack
TXN_00000118,USER_0949,2025-10-23 12:56:19.646031,5174.49,RECIP_0285,P2M,DEV_016,Hyderabad,0,legitimate
TXN_00000119,USER_0233,2025-10-29 09:56:19.646036,12069.7,RECIP_0167,P2M,DEV_057,Hyderabad,0,legitimate
TXN_00000120,USER_0988,2025-11-01 02:29:19.646042,1213.76,RECIP_0267,P2M,DEV_009,Kolkata,0,legitimate
TXN_00000121,USER_0263,2025-09-24 11:35:19.646049,19515.49,RECIP_0067,Recharge,DEV_029,Hyderabad,0,legitimate
TXN_00000122,USER_0145,2025-11-06 04:20:19.646054,1853.62,RECIP_0061,P2M,DEV_088,Hyderabad,0,legitimate
TXN_00000123,USER_0421,2025-11-02 15:07:19.646060,17073.79,RECIP_0129,Recharge,DEV_096,Mumbai,0,legitimate
TXN_00000124,USER_0418,2025-10-28 21:31:19.646066,6845.0,RECIP_0072,P2P,DEV_017,Delhi,0,legitimate
TXN_00000125,USER_0095,2025-11-23 15:57:19.646072,4638.44,RECIP_0305,Bill Payment,DEV_030,Hyderabad,0,legitimate
TXN_00000126,USER_0157,2025-11-20 02:24:19.646078,2946.69,RECIP_0245,Bill Payment,DEV_041,Chennai,0,legitimate
TXN_00000127,USER_0388,2025-09-25 23:17:19.646085,1566.39,RECIP_0500,Bill Payment,DEV_028,Kolkata,0,legitimate
TXN_00000128,USER_0210,2025-10-27 21:57:19.646091,3708.23,RECIP_0248,Recharge,DEV_003,Kolkata,0,legitimate
TXN_00000129,USER_0174,2025-11-15 17:12:19.646097,19681.98,RECIP_0478,P2P,DEV_008,Chennai,1,fake_refund
TXN_00000130,USER_0432,2025-09-26 07:35:19.646103,5340.6,RECIP_0057,P2P,DEV_076,Bangalore,0,legitimate
TXN_00000131,USER_0795,2025-10-06 11:26:19.646109,3711.86,RECIP_0340,Recharge,DEV_005,Delhi,0,legitimate
TXN_00000132,USER_0053,2025-09-16 00:49:19.646115,10,RECIP_0113,P2M,DEV_047,Chennai,1,micropay_scam
TXN_00000133,USER_0899,2025-09-26 07:58:19.646120,6495.9,RECIP_0386,P2P,DEV_035,Hyderabad,0,legitimate
TXN_00000134,USER_0357,2025-10-15 07:34:19.646126,2687.83,RECIP_0171,P2P,DEV_049,Bangalore,0,legitimate
TXN_00000135,USER_0384,2025-09-13 15:00:19.646132,2286.25,RECIP_0143,Bill Payment,DEV_076,Chennai,0,legitimate
TXN_00000136,USER_0481,2025-09-27 21:07:19.646137,6845.17,RECIP_0043,P2P,DEV_070,Bangalore,0,legitimate
TXN_00000137,USER_0083,2025-10-05 16:06:19.646143,7903.96,RECIP_0184,Bill Payment,DEV_099,Hyderabad,0,legitimate
TXN_00000138,USER_0348,2025-11-20 09:23:19.646149,955.88,RECIP_0239,Bill Payment,DEV_016,Mumbai,0,legitimate
TXN_00000139,USER_0624,2025-09-21 02:12:19.646155,9242.7,RECIP_0370,P2M,DEV_023,Kolkata,0,legitimate
TXN_00000140,USER_0525,2025-09-08 08:09:19.646161,15328.44,RECIP_0369,Bill Payment,DEV_045,Hyderabad,0,legitimate
TXN_00000141,USER_0551,2025-11-30 16:36:19.646167,5216.44,RECIP_0075,P2M,DEV_031,Chennai,1,fake_refund
TXN_00000142,USER_0594,2025-09-19 18:32:19.646173,2753.63,RECIP_0107,Recharge,DEV_055,Kolkata,0,legitimate
TXN_00000143,USER_0954,2025-11-22 16:04:19.646179,10,RECIP_0208,P2M,DEV_055,Bangalore,1,micropay_scam
TXN_00000144,USER_0686,2025-10-08 11:56:19.646187,37269.98,RECIP_0433,P2M,DEV_044,Kolkata,0,legitimate
TXN_00000145,USER_0644,2025-11-26 08:14:19.646194,17444.46,RECIP_0376,P2M,DEV_096,Hyderabad,1,fake_refund
TXN_00000146,USER_0633,2025-11-14 03:11:19.646200,4312.68,RECIP_0409,Recharge,DEV_086,Hyderabad,0,legitimate
TXN_00000147,USER_0128,2025-12-03 18:27:19.646206,5917.63,RECIP_0337,Recharge,DEV_012,Chennai,0,legitimate
TXN_00000148,USER_0251,2025-10-03 18:24:19.646212,26856.74,RECIP_0325,Recharge,DEV_060,Chennai,0,legitimate
TXN_00000149,USER_0797,2025-09-06 07:17:19.646217,10497.86,RECIP_0074,Recharge,DEV_035,Mumbai,0,legitimate
TXN_00000150,USER_0819,2025-11-28 23:23:19.646223,45130.47,RECIP_0296,P2P,DEV_049,Hyderabad,1,velocity_attack
TXN_00000151,USER_0506,2025-11-15 12:02:19.646229,5607.83,RECIP_0193,Recharge,DEV_039,Mumbai,0,legitimate
TXN_00000152,USER_0377,2025-09-30 17:46:19.646235,5776.08,RECIP_0439,Bill Payment,DEV_084,Kolkata,0,legitimate
TXN_00000153,USER_0736,2025-09-20 17:26:19.646241,11843.46,RECIP_0036,Recharge,DEV_079,Kolkata,0,legitimate
TXN_00000154,USER_0132,2025-11-14 06:41:19.646247,10800.05,RECIP_0345,Recharge,DEV_003,Chennai,0,legitimate
TXN_00000155,USER_0001,2025-09-14 03:06:19.646252,15899.57,RECIP_0126,P2P,DEV_027,Chennai,1,fake_refund
